Store,Total_Sales
20,3.013977924599999E8
4,2.9954395337999976E8
14,2.8899991134E8
13,2.865177038E8
2,2.753824409800001E8
10,2.7161771388999987E8
27,2.538559168800001E8
6,2.2375613064000008E8
1,2.2240280885000002E8
39,2.0744554246999994E8
19,2.0663486209999996E8
31,1.9961390550000006E8
23,1.9875061785E8
24,1.9401602127999988E8
11,1.939627867999999E8
28,1.8926368057999998E8
41,1.8134193489000002E8
32,1.6681924615999997E8
18,1.5511473421000007E8
22,1.4707564857E8
12,1.4428723014999998E8
26,1.4341639379000005E8
34,1.3824976299999994E8
40,1.3787030979000005E8
35,1.3152067207999995E8
8,1.2995118112999995E8
17,1.2778213883000009E8
45,1.1239534142E8
21,1.0811787892000002E8
25,1.0106117916999999E8
43,9.056543540999995E7
15,8.913368392000002E7
7,8.159827513999997E7
42,7.956575242999998E7
9,7.778921899E7
29,7.714155430999999E7
16,7.425242540000005E7
37,7.420274032000002E7
30,6.271688512000003E7
3,5.758673506999998E7
38,5.515962642E7
36,5.3412214969999984E7
5,4.5475688900000006E7
44,4.329308783999999E7
33,3.7160221959999986E7
